"","avg_temp","full_date","year","date","tooltip"
"257",19.4,"June 13, 1878",1878,"06-13","June 13, 1878 :  19.4 ° C"
"258",20.7,"June 14, 1878",1878,"06-14","June 14, 1878 :  20.7 ° C"
"259",21.5,"June 15, 1878",1878,"06-15","June 15, 1878 :  21.5 ° C"
"260",19.3,"June 16, 1878",1878,"06-16","June 16, 1878 :  19.3 ° C"
"261",22,"June 17, 1878",1878,"06-17","June 17, 1878 :  22 ° C"
"262",20.6,"June 18, 1878",1878,"06-18","June 18, 1878 :  20.6 ° C"
"263",20.9,"June 19, 1878",1878,"06-19","June 19, 1878 :  20.9 ° C"
"264",21.9,"June 20, 1878",1878,"06-20","June 20, 1878 :  21.9 ° C"
"265",22.3,"June 21, 1878",1878,"06-21","June 21, 1878 :  22.3 ° C"
"266",23.3,"June 22, 1878",1878,"06-22","June 22, 1878 :  23.3 ° C"
"267",23.7,"June 23, 1878",1878,"06-23","June 23, 1878 :  23.7 ° C"
"268",23.9,"June 24, 1878",1878,"06-24","June 24, 1878 :  23.9 ° C"
"269",20.8,"June 25, 1878",1878,"06-25","June 25, 1878 :  20.8 ° C"
"270",20.9,"June 26, 1878",1878,"06-26","June 26, 1878 :  20.9 ° C"
"271",21.1,"June 27, 1878",1878,"06-27","June 27, 1878 :  21.1 ° C"
"272",21.1,"June 28, 1878",1878,"06-28","June 28, 1878 :  21.1 ° C"
"273",23.4,"June 29, 1878",1878,"06-29","June 29, 1878 :  23.4 ° C"
"274",23,"June 30, 1878",1878,"06-30","June 30, 1878 :  23 ° C"
"275",23.3,"July 01, 1878",1878,"07-01","July 01, 1878 :  23.3 ° C"
"276",22.4,"July 02, 1878",1878,"07-02","July 02, 1878 :  22.4 ° C"
"277",24.8,"July 03, 1878",1878,"07-03","July 03, 1878 :  24.8 ° C"
"278",24.3,"July 04, 1878",1878,"07-04","July 04, 1878 :  24.3 ° C"
"279",23.9,"July 05, 1878",1878,"07-05","July 05, 1878 :  23.9 ° C"
"280",25.7,"July 06, 1878",1878,"07-06","July 06, 1878 :  25.7 ° C"
"281",23.1,"July 07, 1878",1878,"07-07","July 07, 1878 :  23.1 ° C"
"282",24.9,"July 08, 1878",1878,"07-08","July 08, 1878 :  24.9 ° C"
"283",24.4,"July 09, 1878",1878,"07-09","July 09, 1878 :  24.4 ° C"
"284",26.1,"July 10, 1878",1878,"07-10","July 10, 1878 :  26.1 ° C"
